"","Name",""
"mmu:104382","Barhl2","3.16139173514219"
"mmu:404319","Olfr750","3.16139173514219"
"mmu:216781","Trim58","3.16139173514219"
"mmu:637277","Sycp2l","3.16139173514219"
"mmu:433278","Khdc1c","3.16139173514219"
"mmu:257926","Olfr544","3.16139173514219"
"mmu:19127","Prop1","3.16139173514219"
"mmu:258569","Olfr459","3.16139173514219"
"mmu:56184","Msgn1","3.16139173514219"
"mmu:387353","Tas2r126","3.16139173514219"
"mmu:227288","Cxcr1","3.16139173514219"
"mmu:16660","Krt31","3.16139173514219"
"mmu:258022","Olfr1318","3.16139173514219"
"mmu:258511","Olfr523","3.16139173514219"
"mmu:474145","Clec4a4","3.16139173514219"
"mmu:258882","Olfr874","3.16139173514219"
"mmu:12788","Cnga1","3.16139173514219"
"mmu:100043034","Rex2","3.16139173514219"
"mmu:236785","Olfr1321","3.16139173514219"
"mmu:629219","Sult2a6","3.16139173514219"
"mmu:546896","Olfr455","3.16139173514219"
"mmu:100039116","Mup14","3.16139173514219"
"mmu:433247","Cyp2c68","3.16139173514219"
"mmu:228151","4833423E24Rik","3.16139173514219"
"mmu:381417","Gm14085","3.16139173514219"
"mmu:546729","Calhm1","3.16139173514219"
"mmu:100043515","Gm4491","3.16139173514219"
"mmu:545205","Olfr111","3.16139173514219"
"mmu:626615","Apol11a","3.16139173514219"
"mmu:666253","Gm8005","3.16139173514219"
"mmu:633093","Gm7104","3.16139173514219"
"mmu:631101","Lce1k","3.16139173514219"
"mmu:68364","0610030E20Rik","3.16139173514219"
"mmu:382035","Pabpn1l","3.16137659656779"
"mmu:667451","Gm11214","3.16137659656779"
"mmu:258912","Olfr1378","3.16137650937283"
"mmu:13861","Epx","3.16137650937283"
"mmu:17231","Mcpt8","3.16137608352166"
"mmu:432589","Gm11541","3.16135895056328"
"mmu:73133","3110021N24Rik","3.11960361469766"
"mmu:19701","Ren1","3.11366276323335"
"mmu:237091","Lhfpl1","3.11239218672357"
"mmu:17195","Mbl2","3.1113289052851"
"mmu:13077","Cyp1a2","3.10125989946368"
"mmu:238395","Serpina3j","3.096226163772"
"mmu:243407","C130060K24Rik","3.09478204577105"
"mmu:11921","Atoh1","3.09222922249951"
"mmu:231396","Ugt2b36","3.07185101496552"
"mmu:22227","Ucp1","3.07134614919081"
"mmu:20714","Serpina3k","3.06199560424659"
"mmu:225631","Onecut2","3.04777099176023"
"mmu:66811","Duoxa2","3.02844423693312"
"mmu:18703","Pigr","3.02009637551729"
"mmu:330230","Zfp853","3.01751436702442"
"mmu:171281","Acot3","3.01238271519402"
"mmu:231691","Sds","2.99642587738909"
"mmu:99571","Fgg","2.9948626294316"
"mmu:21393","Tcap","2.95104845313936"
"mmu:15551","Htr1b","2.94584963594912"
"mmu:14061","F2","2.92917274190528"
"mmu:547347","Gm6034","2.90575916362248"
"mmu:170574","Sp7","2.90007914341168"
"mmu:26459","Slc27a5","2.89874963864397"
