"","Name",""
"mmu:194744","Slc25a43","4.22904128817415"
"mmu:12796","Camp","4.22904128817415"
"mmu:74471","4933440N22Rik","4.22904128817415"
"mmu:57755","Dnajb7","4.22904128817415"
"mmu:17235","Smcp","4.22904128817415"
"mmu:211666","Mgst2","4.22904128817415"
"mmu:93716","Pcdhga8","4.22904128817415"
"mmu:78016","Ccdc150","4.21886386775115"
"mmu:209268","Igsf1","4.21659561994843"
"mmu:99031","Osbpl6","4.21481177323032"
"mmu:383491","Prdm14","4.21405445458926"
"mmu:215627","Zbtb8b","4.20841184244089"
"mmu:14700","Gng10","4.18454197271243"
"mmu:171286","Slc12a8","4.15964589810273"
"mmu:55985","Cxcl13","4.15222562100509"
"mmu:67331","Atp8b3","4.15107612008852"
"mmu:67356","Tmco5","4.15107612008852"
"mmu:69314","Izumo3","4.15107612008852"
"mmu:22754","Zfp92","4.15107612008852"
"mmu:13524","Adam18","4.15107612008852"
"mmu:20264","Scn10a","4.15107612008852"
"mmu:170790","Mlc1","4.15107612008852"
"mmu:109205","Sobp","4.15107612008852"
"mmu:71223","Gpr15","4.15107612008852"
"mmu:244551","Nanos3","4.15107612008852"
"mmu:73347","1700042B14Rik","4.15107612008852"
"mmu:210145","Irgc1","4.15107612008852"
"mmu:20666","Sox11","4.15107612008852"
"mmu:12770","Ccr1l1","4.15107612008852"
"mmu:16616","Klk1b21","4.15107612008852"
"mmu:625599","Gml","4.15107612008852"
"mmu:235612","Fbxw19","4.15107612008852"
"mmu:319178","Hist1h2bb","4.15107612008852"
"mmu:69469","Tmco2","4.15107612008852"
"mmu:320752","Dpy19l2","4.15107612008852"
"mmu:73121","Fam101a","4.14950789743709"
"mmu:16153","Il10","4.1493610137116"
"mmu:18566","Pdcd1","4.1493610137116"
"mmu:22115","Tssk2","4.1493610137116"
"mmu:226265","Eno4","4.14359073847087"
"mmu:72301","1810041L15Rik","4.13967053981656"
"mmu:67088","Cand2","4.13889628100645"
"mmu:73863","4930415O20Rik","4.09315383520634"
"mmu:78600","Pde6h","4.09315383520634"
"mmu:74127","Krt80","4.09186498378124"
"mmu:16189","Il4","4.09179832002057"
"mmu:545384","BC094916","4.0917266054139"
"mmu:19746","Rhd","4.09105314218102"
"mmu:268697","Ccnb1","4.08979553598492"
"mmu:20272","Scn7a","4.08767176100234"
"mmu:21786","Tff3","4.06440213437734"
"mmu:22422","Wnt7b","4.04395185836024"
"mmu:217328","Myo15b","4.02824068143028"
"mmu:245368","Zfp300","4.02483813488765"
"mmu:246779","Il27","4.01469799156193"
"mmu:103768","Tubg2","4.01433508298013"
"mmu:211480","Kcnj14","4.00852085042238"
"mmu:319165","Hist1h2ad","4.00852085042238"
"mmu:18725","Pira2","4.00852085042238"
"mmu:93717","Pcdhga9","4.00852085042238"
"mmu:269389","Tox2","3.95434821871316"
"mmu:223917","Krt79","3.92493584728429"
"mmu:16797","Lat","3.87905588798974"
"mmu:19119","Prm2","3.86981001306317"
"mmu:54200","Sult2b1","3.86006677489839"
"mmu:12393","Runx2","3.86006677489839"
"mmu:69123","Eci3","3.85907449102698"
"mmu:17086","Ncr1","3.85907449102698"
"mmu:66696","Snx31","3.85463753372132"
"mmu:74338","Slc6a19","3.85463753372132"
"mmu:110197","Dgkg","3.85463753372132"
"mmu:547431","Btnl2","3.85463753372132"
"mmu:76668","Mdh1b","3.85463753372132"
"mmu:21384","Tbx15","3.85463753372132"
"mmu:75196","Ankrd7","3.85463753372132"
"mmu:246787","Slc5a2","3.85463753372132"
"mmu:66269","Tmed6","3.85463753372132"
"mmu:252868","Odf4","3.85463753372132"
"mmu:108653","Rimklb","3.85463753372132"
"mmu:225392","Rell2","3.85463753372132"
"mmu:574418","Serinc4","3.85463753372132"
"mmu:212070","Clrn3","3.85463753372132"
"mmu:74915","Atp6v1e2","3.85463753372132"
"mmu:319151","Hist1h3e","3.85463753372132"
"mmu:170676","Peg10","3.81229199879714"
"mmu:75104","Mmd2","3.80726389994491"
"mmu:20449","St8sia1","3.74699889275061"
"mmu:100043108","Cyp2c69","3.73821486444073"
"mmu:232406","BC035044","3.7269460128117"
"mmu:17059","Klrb1c","3.71392724585092"
"mmu:18768","Pkib","3.68544255243236"
"mmu:57257","Vav3","3.67377323109575"
"mmu:71840","Tekt4","3.63131513405794"
"mmu:17167","Marco","3.6008563587035"
"mmu:14289","Fpr2","3.58634772739811"
"mmu:108912","Cdca2","3.54135821954797"
"mmu:14598","Ggt1","3.54050579312187"
"mmu:93881","Pcdhb10","3.53391964424239"
"mmu:239559","A4galt","3.53059402142006"
"mmu:216148","Shc2","3.43195546961553"
"mmu:71878","Fam83d","3.37800305281488"
"mmu:12311","Calcr","3.35505533847764"
"mmu:18654","Pgf","3.33837432654109"
"mmu:212733","Ccdc64b","3.31071238983133"
"mmu:74091","Npl","3.288414563004"
"mmu:15571","Elavl3","3.28314727381645"
"mmu:75689","Higd1b","3.28314727381645"
"mmu:20379","Sfrp4","3.28314727381645"
"mmu:12294","Cacna2d3","3.28314727381645"
"mmu:27281","Hrasls","3.28314727381645"
"mmu:52793","Fam3b","3.28314727381645"
"mmu:18601","Padi3","3.28314727381645"
"mmu:56643","Slc15a1","3.28314727381645"
"mmu:18159","Nppc","3.28314727381645"
"mmu:63954","Rbp7","3.28314727381645"
"mmu:16641","Klrc1","3.28314727381645"
"mmu:109264","Me3","3.28314727381645"
"mmu:77647","Trat1","3.28314727381645"
"mmu:66065","Hsd17b14","3.28314727381645"
"mmu:330627","Trim66","3.28314727381645"
"mmu:117229","Stk33","3.28314727381645"
"mmu:30959","Ddx25","3.28314727381645"
"mmu:192663","Abcg4","3.28314727381645"
"mmu:665989","Gm7879","3.28314727381645"
"mmu:20293","Ccl12","3.28314727381645"
"mmu:12771","Ccr3","3.28314727381645"
"mmu:11641","Akap2","3.28314727381645"
"mmu:381580","Ccdc27","3.28314727381645"
"mmu:242773","Slc45a1","3.28314727381645"
"mmu:215090","Maneal","3.28314727381645"
"mmu:229714","Gpr61","3.28314727381645"
"mmu:241070","Gpr1","3.28314727381645"
"mmu:239337","Adamts12","3.28314727381645"
"mmu:93887","Pcdhb16","3.28314727381645"
"mmu:240479","Fam69c","3.28314727381645"
"mmu:791387","Gm9869","3.28314727381645"
"mmu:231991","Creb5","3.28314727381645"
"mmu:627821","Gm6792","3.28314727381645"
"mmu:320265","Fam19a1","3.28314727381645"
"mmu:244653","Hydin","3.28314727381645"
"mmu:13483","Dpp6","3.28314727381645"
"mmu:278255","BC049702","3.28314727381645"
"mmu:100039174","Gm10273","3.28314727381645"
"mmu:217143","Gpr179","3.28314727381645"
