Sample,ND_Veh_1,ND_Veh_2,ND_Veh_3,ND_Veh_4,HFD_Veh_1,HFD_Veh_2,HFD_Veh_3,HFD_Veh_4,HFD_Tx_1,HFD_Tx_2,HFD_Tx_3,HFD_Tx_4,Bsl_1,Bsl_2,Bsl_3,Bsl_4
1-palmitoylglycerol (16:0),"7,094,071","8,719,183","7,911,316","8,898,463","26,839,476","11,008,134","30,477,692","15,102,924","69,575,728","24,496,292","32,664,356","21,775,268","6,236,286","8,962,963","6,206,955","6,935,947"
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),"909,708,160","832,853,888","906,995,456","927,256,960","1,634,234,368","1,676,856,704","1,637,590,144","1,779,769,984","1,687,324,928","1,661,236,480","2,049,498,624","1,620,854,272","751,171,968","686,504,320","670,902,272","904,933,760"
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),"24,941,572","31,010,090","26,738,228","27,314,488","36,494,448","31,417,612","35,117,008","45,674,284","40,545,680","36,498,228","35,483,088","35,293,112","21,321,108","19,572,096","18,016,814","24,040,504"
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),"11,620,329","11,065,574","7,898,853","9,594,282","12,279,974","14,430,579","14,224,189","15,427,979","16,088,588","13,019,598","15,983,048","11,285,795","8,292,952","7,125,935","6,530,874","10,115,554"
1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*,"1,809,441,024","1,853,174,656","1,759,977,472","1,779,293,952","2,418,524,160","2,187,452,416","2,487,992,320","2,343,484,672","2,475,882,752","2,537,717,248","2,481,062,400","2,456,520,448","1,300,444,800","1,375,571,328","1,319,030,528","1,639,638,912"
1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*,"20,301,948","29,263,972","20,736,356","19,274,876","34,830,500","20,710,152","33,315,206","30,717,252","41,648,952","37,863,440","29,380,932","33,604,040","8,783,408","10,193,104","8,851,212","11,532,125"
1-stearoyl-2-oleoyl-GPC (18:0/18:1),"211,718,400","236,636,224","225,250,288","188,314,960","766,919,552","635,803,264","727,612,800","716,290,944","727,231,744","737,636,160","666,199,424","684,572,416","142,394,336","170,966,256","163,058,352","210,631,760"
1-stearoyl-2-oleoyl-GPE (18:0/18:1),"1,659,623","1,979,947","1,423,455","1,097,038","4,975,279","1,932,760","3,705,350","3,786,562","5,986,832","5,332,746","3,779,605","4,918,748","547,613","888,496","555,081","800,585"
1-stearoyl-GPC (18:0),"1,474,663,680","1,430,656,256","1,522,592,768","1,504,086,144","1,878,020,992","2,122,161,152","2,198,993,664","2,105,359,232","1,676,461,696","1,749,537,792","1,822,184,192","1,828,993,920","917,976,704","942,283,968","916,600,192","1,165,257,216"
1-stearoyl-GPE (18:0),"32,719,460","38,322,980","33,542,302","34,363,192","32,993,596","40,445,404","41,282,116","47,171,064","32,911,048","33,008,444","28,568,886","37,797,288","22,420,896","22,131,324","22,776,372","29,765,980"
1-stearoyl-GPI (18:0),"4,019,820","5,451,349","2,013,908","3,075,854","3,205,898","5,479,738","5,537,730","5,728,544","4,830,960","5,120,483","17,940,696","4,874,440","2,348,550","8,320,003","2,775,566","2,718,643"
1-stearoyl-GPS (18:0)*,"293,733","199,074","146,072","67,342","121,820","212,018",,"434,306","431,090","378,375","295,429","276,949",,,,
10-heptadecenoate (17:1n7),"42,025,132","37,703,640","46,697,600","37,588,480","77,188,744","59,878,068","84,562,296","65,314,004","95,379,352","47,758,600","48,079,956","60,431,148","13,048,246","20,045,152","23,507,284","24,649,206"
10-nonadecenoate (19:1n9),"15,397,310","11,457,901","16,491,805","12,770,659","23,870,160","16,366,880","25,474,616","18,699,132","27,933,504","14,190,681","15,301,430","17,408,968","5,830,998","7,860,271","8,782,488","10,619,572"
10-undecenoate (11:1n1),"367,093","300,627","596,725","568,457","3,682,798","3,356,609","4,168,231","2,557,643","1,739,798","2,874,349","2,678,662","1,719,954","539,346","520,299","525,547","722,382"
"12,13-DiHOME","2,638,298","1,369,381","1,217,345","1,650,478","1,165,922","170,978","756,620","389,315","740,976","274,436","89,279","429,714","674,157","1,241,903","1,717,207","1,462,898"
12-HEPE,"40,317,172","29,404,842","38,533,332","21,632,920","12,820,583","18,760,526","12,365,608","19,708,332","8,292,452","7,956,192","7,656,269","6,123,823","4,518,568","3,948,137","6,949,462","6,660,626"
12-HETE,"678,244,160","436,474,144","807,618,752","447,178,848","730,717,568","912,553,728","602,111,232","1,086,612,864","878,988,800","537,243,968","580,038,336","422,919,456","170,502,208","95,982,600","117,258,600","143,664,448"
13-HODE + 9-HODE,"13,223,986","13,214,857","18,711,372","10,192,373","21,171,842","13,718,023","18,684,896","16,601,971","28,101,212","11,754,797","11,443,783","14,681,586","1,721,176","3,586,001","3,945,281","3,587,120"
14-HDoHE/17-HDoHE,"52,363,836","31,589,012","77,240,864","32,150,232","39,873,944","66,614,016","34,245,636","79,483,216","34,314,224","22,943,910","32,231,178","22,086,160","7,022,565","6,473,584","13,020,667","12,078,318"
15-methylpalmitate,"14,138,033","13,151,128","12,189,003","13,201,013","29,631,852","26,398,728","31,779,372","34,207,312","38,660,928","20,648,000","27,358,152","31,676,414","9,208,343","10,164,420","10,942,614","11,094,737"
16-hydroxypalmitate,"8,842,616","3,178,816","4,015,390","3,782,436","17,890,808","9,614,973","23,119,672","12,312,112","48,539,204","14,728,603","16,502,747","20,203,812","2,559,548","3,847,116","5,550,526","4,028,754"
17-methylstearate,"5,641,772","4,216,770","5,059,896","4,695,956","9,662,876","6,018,062","7,661,267","7,495,144","7,692,441","4,099,995","5,333,664","4,971,444","2,485,452","2,168,997","2,968,370","3,386,750"
1H-quinolin-2-one,"3,215,406","2,101,327","2,480,739","1,796,349","155,988","77,903",,"54,048","124,958","52,593",,,"1,021,675","2,446,820","1,495,482","2,536,241"
2'-deoxycytidine,"28,165,590","28,426,180","25,459,304","24,986,408","34,685,224","31,504,186","36,253,152","29,186,100","29,178,442","29,261,868","28,851,300","26,000,612","17,305,298","24,502,150","21,798,196","34,547,560"
2'-deoxyuridine,"1,470,804","972,151","996,368","998,749","1,163,044","1,021,260","1,144,540","1,095,877","1,075,022","963,728","1,261,777","1,062,586","1,320,489","814,860","962,558","1,223,889"
"2,3-dihydroxyisovalerate","1,271,349","551,667","629,390","520,028","1,021,375","255,552","951,684","349,197","244,812","240,675",,"666,487","258,516","552,034","502,677","861,094"
2-aminoadipate,"7,922,449","5,683,831","6,072,514","7,457,642","11,149,538","7,843,029","13,095,693","9,546,794","7,030,872","9,494,609","11,255,603","9,294,640","13,132,038","12,455,975","14,550,421","11,172,282"
2-aminobutyrate,"64,905,912","61,829,940","64,566,656","55,380,944","88,095,664","92,845,624","101,606,480","86,970,832","88,699,664","104,380,248","86,778,552","107,523,968","70,923,448","55,095,400","59,957,480","77,773,424"
2-aminoheptanoate,"4,097,441","4,561,030","4,341,906","2,455,971","3,447,347","2,033,111","4,718,294","3,713,094","2,015,025","1,148,567","1,401,139","1,755,508","2,074,821","2,244,729","2,029,067","3,135,188"
2-aminooctanoate,"782,102","695,467","673,275","588,321","1,030,592","775,828","1,062,915","1,114,025","534,981","709,432","680,468","634,415","548,187","498,408","305,548","668,836"
2-aminophenol sulfate,"1,018,300","664,933","894,647","1,072,606",,,,,,,,,"240,643","1,254,965","348,444","844,805"
2-hydroxy-3-methylvalerate,"2,272,450","1,440,541","1,474,200","1,543,437","3,719,127","5,035,145","5,349,514","5,894,185","3,192,232","3,663,128","3,838,631","2,474,729","1,063,481","1,367,032","1,547,210","2,066,194"
2-hydroxyadipate,,"508,686","637,564",,"1,195,216","914,401",,"566,503","567,252","840,353","678,352","752,232","398,948",,"329,208",
2-hydroxybutyrate/2-hydroxyisobutyrate,"25,859,222","19,873,472","25,391,538","17,814,632","72,571,920","65,019,976","62,105,212","54,163,000","47,118,660","58,164,468","51,715,208","44,284,624","14,032,595","13,574,695","10,268,752","21,451,010"
2-hydroxydecanoate,"1,227,179","971,408","1,022,471","912,373","1,630,297","1,089,096","2,065,742","1,185,143","1,809,482","1,177,260","1,377,488","1,617,248","825,444","971,652","857,889","837,057"
2-hydroxyglutarate,"20,187,168","18,327,168","17,221,350","20,326,302","30,004,576","16,382,971","665,145","12,444,297","16,581,892","18,651,372","11,682,478","278,994","9,216,113","3,231,079","20,688,608","24,181,208"
2-hydroxyhippurate (salicylurate),"146,727","126,156","93,678","104,832",,,,,,,,,"30,667","45,024",,
2-hydroxyoctanoate,"481,375","369,491","403,682","339,007","354,163","196,728","491,881","282,170","370,935","254,129","290,068","296,019","228,896","281,806","252,252","308,638"
2-hydroxypalmitate,"20,315,430","15,204,146","19,527,928","16,239,832","22,243,688","16,472,577","20,921,762","19,834,376","22,363,086","14,219,863","12,796,418","15,782,468","8,646,754","13,664,937","14,207,977","19,709,032"
2-hydroxyphenylacetate,"919,371","1,435,225","1,065,098",,"932,115","570,707","314,352","746,200","572,910",,"520,108",,,"225,025","351,006","471,170"
2-hydroxystearate,"7,953,197","7,076,120","6,913,492","6,570,876","8,411,459","8,857,245","9,167,266","8,926,047","6,942,416","6,705,202","6,976,022","7,394,644","5,198,619","3,898,900","4,214,568","6,191,689"
2-linoleoylglycerol (18:2),"5,127,506","5,393,766","4,833,958","8,537,939","4,180,467","3,784,507","4,516,779","2,745,980","5,992,718","6,037,656","3,783,571","2,724,342","4,197,720","3,967,534","3,902,886","5,103,437"
2-methylbutyrylcarnitine (C5),"3,636,653","2,724,210","5,510,450","4,625,397","5,753,814","4,481,048","5,549,177","4,642,689","5,051,094","5,900,860","4,520,259","4,257,348","2,074,428","1,179,242","1,562,536","2,990,851"
2-methylbutyrylglycine,"263,299","108,861","453,880","278,832","574,669","252,394","169,558","450,751","272,182","409,116","285,850","200,790","82,426","44,419","78,916","148,686"
2-methylcitrate/homocitrate,"472,298","440,014","500,409","532,287","764,554","660,420","672,911","1,023,855","577,554","580,931","504,272","336,453","154,630","259,276","238,890","284,016"
2-methylmalonyl carnitine,"173,542",,"163,175","107,400","132,596",,"265,534","315,521",,"133,239","312,309","289,176","119,906","92,920",,"233,826"
