Sample,201,203,204,206,207,208,209,243,213,215,217,218
Label,ND_Veh,ND_Veh,ND_Veh,ND_Veh,HFD_Veh,HFD_Veh,HFD_Veh,HFD_Veh,HFD_Tx,HFD_Tx,HFD_Tx,HFD_Tx
3-aminoisobutyrate,"1,689,694","835,065","1,639,723","1,377,782","542,594","448,508","523,543","600,783",,"928,681","1,211,953","1,130,334"
3-hydroxy-3-methylglutarate,"5,714,632","3,605,708","11,572,638","7,752,618","1,033,593","949,582","859,584","1,318,545","4,818,788","1,060,823","6,407,869","5,024,349"
3-hydroxybutyrate (BHBA),"1,657,935","602,644","846,863","822,414","1,457,425","373,843","300,139","565,725","869,703","331,534","638,153","852,042"
3-hydroxybutyrylcarnitine (1),"3,963,935","1,172,945","1,831,493","3,201,076","2,318,785","2,106,755","1,924,531","2,890,720","1,530,649","823,457","2,515,653","1,689,659"
3-hydroxybutyrylcarnitine (2),"16,005,558","4,754,469","7,873,814","9,400,715","1,946,199","2,475,890","2,658,228","3,875,211","5,540,127","2,148,658","6,399,355","5,261,150"
3-hydroxyisobutyrate,"481,388",,"262,576","292,604",,,"255,468",,"949,989","180,733","678,451","612,442"
3-indoxyl sulfate,"237,398","187,790","95,574","298,054","173,947","29,036","95,120","74,610","145,036","109,740","161,356","142,650"
3-methylcytidine,"2,490,431","1,597,174","670,380","1,442,132",,,,,"2,010,319",,"1,265,597","1,140,300"
3-methylhistidine,"11,269,238","7,156,729","620,722","4,850,549","114,369","418,274","44,123","339,965","10,419,609","452,030","4,551,452","4,858,058"
3-phosphoglycerate,"4,953,211","3,066,870","2,040,084","3,333,137","198,920","77,033","114,994","175,959","2,244,957","226,613","3,563,634","2,097,147"
3-ureidopropionate,"6,711,081","1,542,707","1,652,177","1,716,297","2,424,797","815,143","893,365","858,228","1,644,471","1,092,176","1,893,439","1,385,809"
4-cholesten-3-one,"4,439,540","4,319,219","5,354,316","4,076,412","2,112,115","2,097,269","1,927,520","2,239,756","3,088,371","2,533,703","4,242,863","4,087,429"
4-ethylphenylsulfate,"449,822","493,090","418,375","361,677","23,847",,,,,,,
4-guanidinobutanoate,"50,711,784","33,721,700","9,472,026","27,606,532","910,768","631,348","771,508","1,747,614","4,985,015","1,091,773","2,610,858","2,285,751"
4-hydroxy-nonenal-glutathione,,,"3,697,839",,"57,925","190,014","234,031","219,129",,"208,567",,
4-hydroxybutyrate (GHB),"5,239,296","3,658,081",,,,,,,"1,949,167",,"1,145,845","897,232"
4-imidazoleacetate,"1,359,950","873,716","1,050,534","1,581,649","669,353","800,637","849,378","1,226,645","1,253,135","1,682,549","703,686","1,089,624"
4-vinylphenol sulfate,"165,325",,"105,900","169,009",,,,,"165,048","121,426","60,968",
5-aminovalerate,"112,977,768","30,926,856","19,376,716","29,609,464",,,,,"41,189,696",,"21,542,888","15,627,376"
5-dodecenoate (12:1n7),"830,280","1,325,343","246,367","1,117,953","1,434,802","271,641","201,962","682,212","1,054,817","750,684","1,190,785","828,972"
5-hydroxylysine,"1,134,709","356,557",,"533,262",,,,,"521,035",,"317,960","481,012"
5-methylthioadenosine (MTA),"12,027,033","10,105,280","3,062,012","6,993,846","252,562","310,525","455,295","379,374","15,745,536","427,826","6,133,055","8,850,139"
5-oxoproline,"203,220,736","110,737,776","17,983,090","124,128,912","6,021,090","3,277,324","3,772,117","6,212,859","124,581,712","7,867,684","83,051,920","89,490,240"
6-oxopiperidine-2-carboxylic acid,"399,487","269,189",,"216,411",,,,,"695,185",,"399,081","516,191"
6-phosphogluconate,"510,238","183,573","135,311","268,030",,,,,"99,614","52,990","243,933","170,520"
7-hydroxycholesterol (alpha or beta),"3,273,557","2,492,728","4,172,688","2,515,721","3,466,634","965,697","2,190,816","2,358,887","2,651,636","2,124,539","2,411,357","3,647,694"
7-methylguanine,"2,194,128","798,246","702,234","999,928","65,489",,"96,580","179,263","895,280","88,343","624,523","603,661"
"9,10-DiHOME","4,185,556","1,074,752","742,535","2,421,693","340,292","327,798","291,626","261,552","410,337","397,727","352,685","456,546"
acetylcarnitine,"1,132,103,296","524,416,928","615,856,256","775,827,840","173,071,536","125,592,864","133,990,512","191,099,072","536,898,816","177,445,856","598,260,160","382,748,288"
acetylphosphate,"8,133,870","5,883,564","2,732,385","5,775,214","853,605","679,812","685,479","694,066","3,645,001","848,159","3,809,782","5,172,335"
aconitate [cis or trans],"1,073,351","845,492","712,438","2,293,702","167,767","76,494","227,601","189,695","1,018,060","96,511","1,399,567","562,360"
adenine,"1,751,281","1,269,835","879,998","1,654,949","131,801","83,617","79,516","163,814","2,203,970","120,182","795,065","1,216,047"
adenosine,"8,259,784","15,592,469","14,881,857","13,403,877","7,234,014","3,221,142","6,240,732","8,854,760","15,383,730","8,762,458","13,973,851","16,785,664"
adenosine 2'-monophosphate (2'-AMP),"171,535","102,201","416,241","349,119","10,789",,,,,"17,799","128,593","42,430"
"adenosine 3',5'-diphosphate","472,238","63,312","377,917","284,248",,,,"27,985",,"33,918","138,840","65,865"
adenosine 3'-monophosphate (3'-AMP),"65,984","74,079","248,943","193,309",,,,"38,221",,"46,111","66,580",
adenosine 5'-diphosphoribose (ADP-ribose),,"284,610","18,676",,"242,441","87,144","123,423","271,987","38,241","202,867","253,427","162,841"
adenosine 5'-monophosphate (AMP),"769,492","641,815","493,436","554,216","3,406,752","4,446,114","5,844,833","7,465,929","242,488","3,539,948","527,855","610,737"
adrenate (22:4n6),"29,960,448","16,750,404","19,908,784","30,421,528",,"11,304,611","47,277,092","12,565,612","59,587,248","19,671,940","30,733,552","20,281,992"
alanine,"928,402,816","742,114,304","412,724,320","665,707,904","201,685,264","181,529,152","194,693,616","275,435,264","864,691,072","227,237,728","660,337,344","774,694,848"
allantoin,"4,496,765","1,910,140","1,185,375","1,816,654","1,112,319","378,266","392,762","412,128","1,323,758","439,173","884,131","1,050,135"
alpha-hydroxyisocaproate,"1,464,522","498,176","673,457","1,638,771",,,,,"1,434,394",,"1,237,325","825,797"
alpha-hydroxyisovalerate,"10,440,189","5,561,527","4,024,749","7,467,894","1,165,818","860,945","1,307,675","1,099,068","11,003,103","1,169,464","7,840,010","7,668,629"
alpha-ketoglutarate,"4,303,762","1,331,769","818,522","1,394,592","606,484","768,435","745,340","891,971","1,318,643","312,442","1,078,288","1,469,472"
alpha-tocopherol,"5,392,373","1,544,220","1,426,710","6,059,794","32,987,208","45,697,364","33,325,166","61,865,768","6,587,192","47,086,388","64,681,424","36,778,084"
anserine,"5,040,378","4,795,381","5,835,610","10,425,996","3,375,452","994,182","1,705,194","708,461","4,667,103","3,646,367","2,108,234","2,520,955"
arabitol/xylitol,"450,212","319,933","193,181","280,321",,,,,"303,441",,"256,495","198,491"
arabonate/xylonate,"11,114,123","6,990,279","793,257","5,021,582",,,,,"7,920,989",,"4,539,260","5,792,892"
arachidate (20:0),"18,517,750","9,485,321","10,104,127","14,974,457","6,360,217","4,974,187","7,417,607","7,860,182","22,817,234","8,214,784","9,512,251","9,126,377"
arachidonate (20:4n6),"246,141,600","221,713,600","121,761,080","255,779,328","105,230,992","68,922,760","69,648,392","95,811,496","531,304,256","113,191,192","212,908,368","228,638,416"
arachidonoyl ethanolamide,"276,709","201,700","313,695","449,592","720,350","496,715","576,044","389,520","311,426","449,694","553,616","288,041"
arginine,"647,599,488","477,171,456","221,418,800","490,250,624","49,903,216","64,142,148","65,044,404","102,184,072","589,136,128","109,801,592","411,469,984","464,027,424"
argininosuccinate,"12,212,745","4,502,902","439,294","3,988,566","111,687","235,956","109,482","263,155","7,268,644","118,564","3,167,587","4,302,190"
ascorbate (Vitamin C),"875,015","666,123","1,871,058","1,084,343","1,284,252","2,326,349","746,756","1,742,010","923,643","220,498","8,729,549","751,355"
asparagine,"177,198,656","126,945,608","52,157,648","108,635,296","15,108,794","13,982,388","15,731,952","19,956,484","163,317,856","21,742,814","96,739,360","134,306,832"
aspartate,"414,493,184","357,218,048","167,399,824","298,237,888","52,206,304","39,680,248","49,186,212","50,365,764","338,936,160","49,900,324","240,735,664","236,663,600"
azelate (nonanedioate),"810,604","290,362","177,499","296,044","284,484","170,794","189,114","329,657","199,679","232,307",,"136,855"
behenoyl sphingomyelin (d18:1/22:0)*,"111,918,688","95,967,760","62,495,252","97,050,736","37,921,656","29,723,716","31,880,604","39,981,112","88,629,984","46,350,400","69,379,816","82,321,200"
beta-alanine,"62,702,832","51,965,628","19,914,524","52,100,800","10,576,716","7,652,087","7,393,909","11,337,522","63,501,540","14,368,559","40,504,728","44,680,764"
beta-guanidinopropanoate,"4,006,591","5,284,093",,"12,548,932","1,212,859","777,671","1,066,485","1,022,265","1,014,499","1,020,822",,"1,260,887"
