external_gene_name	log2FoldChange.HFVeh_vs_NormVeh	padj.HFVeh_vs_NormVeh
Ccl9	-2.14503741521868	3.98058852042699e-08
Tmem160	-1.32846193530089	0.024937064159285
Atp6v1e1	-0.865094706529433	0.00481110334969677
Ahr	1.16887928434556	0.00413363423933123
D8Ertd738e	-1.0959051189681	0.0230427819419554
Ubb	-0.83497999415191	0.048687478978464
1110001J03Rik	-0.984819948711716	0.0319555178760429
Gtf3c6	-1.20151876836464	0.0138292321776324
Slc17a8	1.30098402926704	0.00527076662046204
Rhobtb1	1.1388590928614	0.00442079879345679
Dusp6	1.4052259398544	0.00508032054049934
Pde7b	1.24576558596494	0.0413369390822025
Moxd1	5.49245322230595	0.0101481568173262
Fgd6	0.875930806131711	0.0379489748015285
Timp3	1.04389746835188	0.0214185853982887
Igf1	-0.660130919543192	0.0322867230411463
Ccdc53	-0.869010397071549	0.0232865619541683
Sar1a	-0.671500500257873	0.044848713497463
Ppa1	-0.812651749578564	0.0424477068657075
Eif4ebp2	0.870199095530006	0.0364387858542615
Pcbd1	-1.05838912282033	0.00625985838301748
Pno1	-0.939848085969947	0.0168294758969432
2310011J03Rik	-1.02794899906341	0.0370247157353416
Thap2	1.16068242232216	0.0351751550465679
Uqcr11	-1.10297876041508	0.0226007458796455
Yeats4	-0.98199969844105	0.0333546696934868
Adarb1	1.13971221167524	0.00990341375384806
Hint1	-1.3108379985326	0.00973270486722131
Cdc34	-0.984411969519295	0.0138618872131116
Flt4	0.908297579211958	0.0051819444693121
Ube2b	-0.761365579064515	0.0308259472763444
Btg2	1.19157901826655	0.00367316880165526
Drg1	-0.955357196308467	0.0106613165750743
Xbp1	-0.798064470207662	0.0312103101806792
Znhit3	-1.57456953938568	0.00808580629209017
Pdia6	-0.782935271897063	0.0270048251446983
Lpin1	1.74423050902936	2.32546335354677e-07
Rdh14	-0.842992003775928	0.0457333123011425
Adi1	-0.567763179552979	0.0335349297214168
Klf11	1.21276717024868	0.0165796392794806
Lig3	0.826261918147452	0.0361044016595706
Fbf1	1.7249160872219	0.000399870848906563
Txndc17	-0.818975263028687	0.0319555178760429
Kif1c	0.683502046069365	0.0310987961606311
Dhrs13	-1.31653950636048	0.0154358691251952
Prpf8	0.882027983916813	0.0251587901663375
Nr1d1	1.21320168185516	0.0175439249107229
Per1	1.3267841160102	1.36141809359536e-06
Psma6	-1.12743490508183	0.0185844797155328
Timm9	-1.02325601358396	0.00235791584072095
Zfp36l1	1.53650672473494	0.000750377627984506
Susd6	0.833169766721803	0.00764554652813507
Pcnx	0.925414435545782	0.0115819695908056
Pitrm1	1.07601481680034	0.0438351611484456
Akr1c12	-0.799404137159797	0.0121621734665237
Akr1c13	-0.896384957704368	0.0487751674955995
Isca2	-0.852306369757802	0.037290928478903
0610007P14Rik	-1.49858196001866	0.000399870848906563
Tecpr2	0.976741810020309	0.0151203670156835
Cdc42bpb	1.19355049805992	0.0097455761459393
Zfyve21	-0.89636694840126	0.0245322563169028
Slc35b3	-1.13861874555032	0.0487751674955995
Glrx	-0.822901413353785	0.0283026154420615
Mrpl36	-0.873551627881623	0.0361986001588309
Iqgap2	0.733363132650741	0.0102336913860779
Mrps30	-0.950107876938384	0.00527076662046204
Pdhb	-0.895876606886742	0.0175289781714781
Fam107a	2.35404403112611	0.00335712814942996
Kat6b	0.967655548466812	0.0328842507543006
Fam213a	-0.693644683626681	0.0238876361408464
Vcl	1.53738917784952	0.00726972838357725
Mapk1ip1l	0.759855574016313	0.0369518986568987
Arhgef3	1.15197513140276	0.000189082533779167
Gm6768	0.99152320468873	0.00942616366376018
