"","overlap_ecc1_t47d"
"587","Gyltl1b"
"588","Btbd6"
"589","Paqr5"
"590","Cryzl1"
"591","Ell"
"592","Ppp4c"
"593","Abl1"
"594","Stip1"
"595","Kctd15"
"596","Srsf5"
"597","Slc25a19"
"598","Rheb"
"599","Ctdnep1"
"600","Ppp4r4"
"601","Tbc1d1"
"602","Hhex"
"603","Lhx4"
"604","Nbeal2"
"605","Snx16"
"606","Dpep1"
"607","Wwc1"
"608","Rad51b"
"609","Trim32"
"610","B3gnt4"
"611","Pkd2"
"612","Lactb"
"613","Slc34a3"
"614","Lef1"
"615","Tmem132b"
"616","Fnbp1l"
"617","Mcat"
"618","Izumo1r"
"619","Gata4"
"620","Emp2"
"621","Cep70"
"622","Nalcn"
"623","Iqsec2"
"624","Cnbd1"
"625","Cplx4"
"626","Rffl"
"627","Adcy10"
"628","Grtp1"
"629","Glyctk"
"630","Adamtsl5"
"631","Tmbim1"
"632","Slc6a6"
"633","Ncald"
"634","Rptor"
"635","Tmem233"
"636","Npsr1"
"637","Prkg2"
"638","Sp7"
"639","Setd5"
"640","Nisch"
"641","Srpk2"
