external_gene_name	log2FoldChange.HFGTX_vs_NormVeh	padj.HFGTX_vs_NormVeh
Ndufa6	-0.75799516265883	0.041118194896735
Ly6e	1.03937217020258	7.42539954871749e-05
Shank3	1.22938950350354	0.0153379956110859
Nit2	-1.0672638355768	0.0366525704528949
Fyttd1	-0.865268812805876	0.0468312156860063
Hcls1	1.23966038394415	0.0212869318087158
Fetub	-0.793758522598692	0.0167764396617692
Kng1	-0.811456436468213	0.00174439370805407
Eif4a2	-0.996793370520388	0.00281753714238952
St6gal1	-0.775860419715993	0.0150423871671808
Atp5j	-0.868166005153369	0.00947050173987585
Cdkn1a	2.59314734617551	0.00010119505782917
Cpn2	0.779386099452614	0.00225238831313545
Kcnk5	0.850276053386645	0.0449252647192698
Tff3	3.90842784842391	3.41529599918638e-25
Emilin2	1.57607443539281	0.0349030629798795
Lbh	0.947096871337444	0.0212869318087158
Yipf4	-1.32555321089514	0.00456931225302912
1600002H07Rik	0.729260879129001	0.0388669313381063
Abca3	0.818635053825747	0.00953956583163466
Hagh	-0.943033851141861	0.000688875224919194
Mllt1	0.770708746158579	0.044172345801116
Anks1	1.14764823868192	0.00225897113029915
Fkbp5	0.814800219010373	0.0451153563047251
Rnf138	-1.3846542105336	0.0243568272469284
Slc39a7	1.05992726106325	0.00439621999511283
Psmb8	1.05845093535388	0.0140057489773482
Tap2	0.793898933127787	0.0438546791311505
Grpel2	-0.751373964732948	0.0352581479250166
Txnl1	-0.784940368210855	0.0473823364915864
Rps14	-1.79359026991395	1.52405764871391e-05
Csf1r	1.91345948924912	1.68627280630601e-09
Keg1	-1.2858525336175	0.000195433146514886
Gna14	1.93412665100619	0.000399201787537143
Slc15a3	2.15513764081237	5.4524154149241e-05
Aldh1a7	-1.63371527891674	3.59562439987744e-08
Ehd1	0.664794540515262	0.0457673556561202
Tm7sf2	-0.91631103629584	0.0184708397183476
Syvn1	0.812533141401302	0.0317339556941708
Frmd8	0.897165515822418	0.0490279688381621
Chka	1.26927246668976	0.000927186148769954
Lrp5	1.27114995759946	0.00154628861143769
Rela	0.666850505353583	0.0212869318087158
Acsl5	-0.924261872898229	0.00510294275846279
Cyp26a1	-2.54141459580666	0.023393908369432
Prdx3	-0.72867000021725	0.0256697424569847
Cyp2c55	-4.14528792148387	3.6962175533966e-10
Dntt	2.30291063599607	0.0132901776368481
Gfra1	0.76778347892725	0.017269689999789
Arhgdia	0.805803552150452	0.0118022994271518
Fn3k	-0.930411010974947	0.0362339755506443
Chuk	-1.03424067689939	0.000766162328926914
Scd2	1.21239774167374	0.0246326992971374
Gbf1	0.711336837072826	0.0247613273324478
Abhd6	-0.805329409946427	0.0330416853738425
Baiap2	1.3330064832748	6.77367245557315e-06
Aatk	0.991723467114481	0.044172345801116
Hsd17b6	-0.993137684380873	0.0239970701551642
Inhbc	0.64331937809324	0.0286887083648204
Paip1	-1.04809195696735	0.0051847681136428
Bach1	-1.16987326135706	0.00252291722608952
Sdc3	1.79930403795758	2.61449809263423e-09
Atp5c1	-1.19378305966244	0.00119878065360783
Rpl14	1.08645284007784	0.00502540459825227
Homer2	0.814323625442141	0.00746829070240017
Lypla1	-1.12094057753095	0.00145464239177187
Gsta3	-1.06992468378785	0.00138004470979142
Lactb2	-0.788555400753994	0.003857266850917
