"","ND_Veh_1","ND_Veh_2","ND_Veh_3","ND_Veh_4","HFD_Veh_1","HFD_Veh_2","HFD_Veh_3","HFD_Veh_4","HFD_Tx_1","HFD_Tx_2","HFD_Tx_3","HFD_Tx_4"
"N-palmitoyl-sphinganine (d18:0/16:0)","-0.41799682","-0.02340075","-0.02986601","-0.36826068"," 0.33526489"," 0.22756969"," 0.25014014"," 0.17398516","-0.44429810"," 0.55570190","-0.10333156","-0.15550786"
"N-palmitoyl-sphingosine (d18:1/16:0)","-0.41792736","-0.38286209"," 0.37592328","-0.10003711"," 0.02663010"," 0.50505007"," 0.28051543","-0.03111123","-0.49494993"," 0.35856084"," 0.11706478","-0.23685679"
"N1-Methyl-2-pyridone-5-carboxamide"," 0.11250934","-0.08562831"," 0.50841123","-0.49158877","-0.37853651"," 0.45052515","-0.02818951"," 0.30925184","-0.20386599"," 0.34613835","-0.06461466","-0.47441218"
"N1-methyladenosine"," 0.33425234","-0.33839685"," 0.42442097"," 0.08864837"," 0.18982427"," 0.07552832"," 0.03311847"," 0.11086285","-0.09019877","-0.12364834","-0.12883260","-0.57557903"
"N2-acetyllysine/N6-acetyllysine"," 0.22771480"," 0.21593456"," 0.20810338"," 0.18100014"," 0.08463930"," 0.07017975","-0.77228520"," 0.14576720"," 0.19112409","-0.73806423"," 0.01824633"," 0.16763988"
"N6,N6,N6-trimethyllysine"," 0.37111184"," 0.26511355","-0.19720901"," 0.06095477","-0.20402502","-0.47122270","-0.37136860","-0.32964658"," 0.52877730","-0.25698016"," 0.11415097"," 0.49034363"
"N6-carboxymethyllysine"," 0.344502274"," 0.370756703","-0.007627849"," 0.263290969"," 0.117226204"," 0.187253983"," 0.061197815"," 0.084582178","-0.319814675"," 0.043918693","-0.629243297","-0.516042996"
"N6-succinyladenosine"," 0.21236502"," 0.37408741","-0.19364450"," 0.12157988","-0.06237252","-0.45079296","-0.06780461","-0.26035610"," 0.34940859","-0.62591259"," 0.36051709"," 0.24292527"
"nicotinamide","-0.51071337","-0.21808288"," 0.08193888","-0.41477288"," 0.36777073"," 0.45735936"," 0.33340134"," 0.24056569","-0.34710737"," 0.48928663","-0.31720504","-0.16244108"
"nicotinamide adenine dinucleotide (NAD+)"," 0.21054851","-0.18179068"," 0.52695950","-0.08763610","-0.47304050"," 0.28272639"," 0.05330343"," 0.12728681","-0.08259105","-0.43807944"," 0.17161056","-0.10929742"
"nicotinamide riboside","-0.59480486"," 0.09144091","-0.22682261","-0.02402924"," 0.40519514"," 0.13077935"," 0.13391264","-0.10652419"," 0.28844555"," 0.05626383","-0.01374606","-0.14011045"
"nonadecanoate (19:0)"," 0.005769394","-0.507495172"," 0.153472993"," 0.006080923"," 0.183526628"," 0.135133475"," 0.356225504"," 0.364220509","-0.088873598"," 0.433010907","-0.566989093","-0.474082470"
"O-sulfo-L-tyrosine","-0.17561757","-0.18385268","-0.50052765","-0.27519757"," 0.35148266"," 0.49947235"," 0.21706343"," 0.22056128","-0.06784881"," 0.23391281","-0.26876192","-0.05068632"
"octanoylcarnitine","-0.422237467","-0.212253839"," 0.002166353","-0.076396509"," 0.287807887","-0.006610661"," 0.391279195"," 0.577762533","-0.417377232"," 0.102629331"," 0.043918330","-0.270687921"
"oleamide","-0.53416302","-0.15536436"," 0.37018965"," 0.15765417","-0.09144763","-0.08474438","-0.07603277","-0.03715211","-0.53306831"," 0.46583698"," 0.38839123"," 0.12990053"
"oleate/vaccenate (18:1)","-0.35295545","-0.42874294","-0.09302753","-0.24761000"," 0.12895943"," 0.02225683"," 0.25157435"," 0.34920541"," 0.02654193"," 0.57125706","-0.13762189","-0.08983722"
"oleoyl ethanolamide","-0.418397885","-0.579855595"," 0.004175429","-0.281113217","-0.256652998"," 0.206963719"," 0.420144405"," 0.357095946"," 0.131297972"," 0.403848908"," 0.013996853","-0.001503537"
"oleoylcarnitine"," 0.24663847","-0.26013695","-0.56724111","-0.24296130"," 0.03557994","-0.33707447","-0.18792919"," 0.43275889"," 0.22044961","-0.06962453"," 0.31226681"," 0.41727382"
"ornithine"," 0.38962724"," 0.14049932","-0.35546269","-0.20960736"," 0.57985782","-0.22415436","-0.07690582","-0.42014218"," 0.05033262"," 0.01011800","-0.08391336"," 0.19975077"
"orotate"," 0.3226184"," 0.3196083","-0.1793402"," 0.2832403","-0.5027730"," 0.2435444","-0.6327066","-0.5314648"," 0.3672934","-0.3635819"," 0.3168342"," 0.3567273"
"orotidine"," 0.3014711"," 0.3339382"," 0.2390152"," 0.2359023","-0.4331259","-0.5240565","-0.4260073","-0.5575858"," 0.4396417","-0.4049931"," 0.3533859"," 0.4424142"
"oxalate (ethanedioate)","-0.001062055"," 0.079220105"," 0.061719313","-0.345968427","-0.577333629"," 0.025429567","-0.190435389"," 0.422666371"," 0.066674624"," 0.390057544","-0.137944752"," 0.206976727"
